site_code,project_name,CoDyn_Contact,raw_file_name,import_file_name,Get,public,location,notes,Country,Continent,Lat,Long,temp_C,MAP_mm,# plots,plot_size (m2),spatial_extent (m2),dataset_length,time_step,succession,"lifespan (subannual, annual or longer)","trophic_level (consumer, primary)",taxa,ANPP (g/m2),broad_ecosystem_type,system,MAP (hand look up),temp_F_PRISM,MAP_in_PRISM,,,,,
ARC,kuparuk,Sam or Kim,kuparuk_insects.csv,kuparuk_insect,laura gough,ask kim,Alaska,,USA,North America,64.89651,147.769881,-8,298.3,4,0.1452,100000,6,1,no,annual,consumer,invertebrates,0.0056,river,aquatic,298.3,,,,,,,
FCE,FCE_small_fish_movement_wet_season,Eric Sokol,,,http://fcelter.fiu.edu/research/working_groups/?p=FCEIII&wg=19&display=datasets,no,FCE LTER,,USA,North America,25.559,-80.779,24.3,1351.48,6,18000,1500000,7,1,no,annual,consumer,fish,NA,river,aquatic,,,,,,,,
FCE,FCE_inverts_wet_season,Eric Sokol,,,http://fcelter.fiu.edu/research/working_groups/?p=FCEIII&wg=19&display=datasets,no,FCE LTER,,USA,North America,25.559,-80.779,24.3,1351.48,6,18000,1500000,7,1,no,annual,consumer,fish,NA,river,aquatic,,,,,,,,
NTL,NTL_PHYTOS,**CHANGE NAME IN A AND B TO CASCADE PHYTOS,NTL_PHYTO_ORG.csv,,dataone,,Wisconsin,,USA,North America,46.012194,-89.671938,4.444444444,797.56,4,27200,1100000,7,0.019230769,no,subannual,primary,phytoplankton,128,lake,aquatic,648,40,31.4,,,,,
maerc,fireplots,meghan or kim,,,eboughton@archbold-station.org,no,"Macarthur Agro-Ecological Research Center, Florida",want macarther center to be acknowledged,USA,North America,27.154917,-81.197698,22.83333333,1135.38,4,1,8400,8,1,no,longer,primary,plants,1365,herbaceous,terrestrial,967,73.1,44.7,,,,,
PIE,TIDE,meghan or kim,,,dataone,yes,Plum Island Estuary,,USA,North America,42.258845,-70.856035,10.11111111,1298.956,6,0.52,160000,8,1,no,longer,primary,plants,1118,herbaceous,terrestrial,1096,50.2,51.14,,,,,
AND,control,,knb-lter-and.3213.9.csv,andrews_cascade_wide,dataone (knb-lter-and.3145.14),,Andrews LTER,,USA,North America,44.212058,-122.254902,9.777777778,2025.396,25,1,40000,9,1,yes,longer,primary,plants,500,woody,terrestrial,2170,49.6,79.74,,,,,
NWT,bowman,,,,william.bowman@colorado.edu,no,Niwot LTER,,USA,North America,40.03245,-105.53529,2.055555556,841.248,5,1,1620,9,1,no,longer,primary,plants,199,herbaceous,terrestrial,2144,35.7,33.12,,,,,
SAG,Saginaw Bay benthic inverts,,,,noaa,yes,"Saginaw Bay, Michigan",,USA,North America,43.841409,-83.628185,8.555555556,785.368,11,0.047,2.96E+11,9,1,no,annual,consumer,invertebrates,NA,lake,aquatic,,47.4,30.92,,,,,
VAC,ebrp,meghan,LTER_master_cleanVC,lh_ebrp,lauren ecology,,California,,USA,North America,34.477708,-118.319842,16.94444444,417.068,6,17,800000,9,1,no,annual,primary,plants,NA,herbaceous,terrestrial,,62.5,16.42,,,,,
